Rank,Player,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE
446,Jim Beardmore,21,11,4,15,5,2.14,0,0,13.24
447,Kieran Covey,10,8,2,15,4,2.5,0,0,-
448,P- Julier,3,3,2,15,12,15,0,0,-
449,Matthew Cluett,12,6,2,15,5,3.75,0,0,24.59
450,Ortis Charles,8,4,1,15,5,5,0,0,63.64
451,Connor Simmonite,11,9,1,14,4,1.75,0,0,28.21
452,Matthew Storey,7,6,1,14,6,2.8,0,0,-
453,A Cooper,6,5,1,14,6,3.5,0,0,40
454,N Allen,3,3,0,14,13,4.67,0,0,-
455,Jonte Smith,3,3,0,14,12,4.67,0,0,120
456,Edan Pickering,16,3,0,14,9,4.67,0,0,-
457,Jamie Bartlett,12,9,3,13,9,2.17,0,0,22.03
458,Jake Carter,11,7,1,13,8,2.17,0,0,15.38
459,Seth Lister,3,3,1,13,5,6.5,0,0,27.66
460,Oscar Palmer,9,6,0,13,6,2.17,0,0,23.08
461,Robert Bradbury,6,6,3,12,8,4,0,0,-
462,a- Cheeseman,6,4,2,12,8,6,0,0,-
463,Oscar Mills,8,7,2,12,7,2.4,0,0,17.14
464,M Kenway,4,4,1,12,8,4,0,0,-
465,M Weill,4,4,1,12,8,4,0,0,-
466,S Matthews,3,3,0,12,12,4,0,0,35.29
467,Oliver LaPensee,7,6,2,11,5,2.75,0,0,18.03
468,Fred Imms,16,6,2,11,5,2.75,0,0,-
469,Steve Howlett,11,8,1,11,6,1.57,0,0,3.7
470,- Peart,3,3,1,11,8,5.5,0,0,60
471,D- Merton,3,3,1,11,6,5.5,0,0,62.5
472,C- Knott,3,3,0,11,9,3.67,0,0,-
473,Richard Brooker,6,3,2,10,8,10,0,0,-
474,Neve Daniel,8,4,2,10,9,5,0,0,3.45
475,James Mayne,10,4,1,10,6,3.33,0,0,17.14
476,Leo Lestrange,5,3,0,10,6,3.33,0,0,27.03
477,Tom Adey,4,3,1,9,6,4.5,0,0,33.33
478,J- Roberts,3,3,0,9,9,3,0,0,-
479,- Thomas,3,3,0,9,7,3,0,0,-
480,P Wickens,9,6,3,8,5,2.67,0,0,0
481,Jessica Cooper,4,3,2,8,4,8,0,0,10.81
482,Toby Bruce,15,7,2,8,4,1.6,0,0,16.13
483,- Murton,3,3,0,8,4,2.67,0,0,-
484,Jamie Merrett,4,3,0,8,5,2.67,0,0,-
485,George Hewetson,5,3,1,7,5,3.5,0,0,29.41
486,A Short,3,3,1,7,4,3.5,0,0,-
487,M- Rowlands,3,3,1,7,6,3.5,0,0,-
488,Billy Brooker,7,4,0,7,3,1.75,0,0,16.67
489,Maisie Carter,4,3,0,7,6,2.33,0,0,25
490,I Purkiss,4,4,1,6,4,2,0,0,-
491,Jack Wiggins,6,4,1,6,4,2,0,0,22.22
492,Archie Armitage,4,3,1,6,6,3,0,0,60
493,Oliver Claxon,4,4,1,6,4,2,0,0,23.08
494,Tom Lane,3,3,1,6,4,3,0,0,-
495,- Butler,4,3,2,5,3,5,0,0,-
496,Teddy Lanyon,8,3,2,5,4,5,0,0,-
497,Jack Bradley,15,6,1,5,3,1,0,0,0
498,Bobby Collins,3,3,0,5,3,1.67,0,0,23.08
499,P Kimber,4,4,0,5,4,1.25,0,0,-
500,Alan Miles,8,6,0,5,4,0.83,0,0,-
501,D- Plumb,3,3,1,4,3,2,0,0,-
502,James Spooner,5,4,1,4,3,1.33,0,0,22.22
503,- Jones,4,4,0,4,2,1,0,0,14.29
504,George Nott,7,6,0,4,3,0.67,0,0,17.65
505,Luca Holland,4,3,0,4,4,1.33,0,0,40
506,Nathan Hill,6,4,3,3,2,3,0,0,13.64
507,Louis Parfett,5,3,2,3,2,3,0,0,7.69
508,Ben Young,4,3,1,3,2,1.5,0,0,0
509,Lewis Strut,3,3,1,3,2,1.5,0,0,25
510,Zac Schwarz,4,3,0,3,3,1,0,0,11.11
511,- Homewood,4,4,0,3,3,0.75,0,0,0
512,Jasper Swift,4,3,0,3,2,1,0,0,33.33
513,Ben Wheeler,4,4,2,2,1,1,0,0,50
514,- Irvine,5,4,1,2,2,0.67,0,0,-
515,Miles Rutty,7,5,0,2,1,0.4,0,0,4.26
516,N- Haslam,3,3,0,2,1,0.67,0,0,-
517,D Farr,3,3,0,2,2,0.67,0,0,10.53
518,Charles Redwood,5,3,0,2,2,0.67,0,0,-
519,Duncan Stott,5,4,0,2,2,0.5,0,0,0
520,E Spooner,3,3,0,1,1,0.33,0,0,-
521,James Tobin,5,4,0,0,0,0,0,0,0
522,- Kenway,5,3,0,0,0,0,0,0,-
